POS,ID,pos_score,neg_score
a,00037757,0,0.375

a,00037985,0.125,0.125

a,00038119,0,0

a,00038260,0,0

a,00038462,0.125,0.25

a,00038623,0,0.625

a,00038750,0.125,0

a,00039122,0,0

a,00039259,0,0

a,00039394,0,0

a,00039592,0.375,0.25

a,00039929,0,0.625

a,00040058,0,0.75

a,00040325,0,0.5

a,00040534,0.125,0.5

a,00040685,0,0

a,00040909,0,0.25

a,00041051,0,0

a,00041202,0.25,0.625

a,00041361,0,0.5

a,00041488,0.5,0

a,00041618,0,0

a,00041841,0,0

a,00042037,0,0

a,00042228,0,0

a,00042457,0.25,0

a,00042692,0.125,0

a,00042837,0,0.5

a,00042982,0,0

a,00043125,0,0.625

a,00043231,0.125,0.625

a,00043411,0.375,0

a,00043615,0,0.5

a,00043765,0.125,0.5

a,00044132,0.5,0

a,00044353,0,0.25

a,00044608,0,0.625

a,00044760,0,0.5

a,00044987,0,0

a,00045123,0,0.375

a,00045356,0,0.375

a,00045561,0.5,0

a,00045735,0.125,0.375

a,00045888,0.125,0.25

a,00046014,0,0.875

a,00046109,0.25,0

a,00046339,0.625,0.125

a,00046471,0,0

a,00046558,0.625,0.125

a,00046673,0.5,0.375

a,00046792,0,0

a,00046955,0.375,0.25

a,00047029,0,0

a,00047243,0,0

a,00047406,0,0

a,00047566,0,0.125

a,00047653,0.5,0

a,00047786,0,0.625

a,00047954,0.25,0.5

a,00048129,0,0.375

a,00048460,0,0

a,00048706,0.5,0

a,00048858,0,0

a,00049016,0.125,0.125

a,00049266,0,0

a,00049469,0,0

a,00049683,0,0

a,00049879,0,0

a,00050083,0.25,0

a,00050260,0.625,0

a,00050446,0,0.625

a,00050641,0.125,0

a,00050799,0,0

a,00050947,0,0.125

a,00051045,0,0

a,00051373,0.375,0.25

a,00051571,0.25,0

a,00051696,0,0.5

a,00052012,0,0.625

a,00052246,0,0.25

a,00052431,0,0.75

a,00052672,0.25,0.5

a,00053032,0,0

a,00053154,0,0

a,00053248,0.25,0

a,00053384,0,0

a,00053564,0,0.5

a,00053691,0,0

a,00054109,0,0

a,00054201,0,0

a,00054278,0,0.25

a,00054364,0,0

a,00054541,0,0.5

a,00054667,0,0.5

a,00054804,0,0

a,00054908,0,0.75

a,00055041,0,0.625

a,00055142,0,0.5

a,00055256,0,0.75

a,00055340,0,0

a,00055539,0.125,0

a,00055765,0.75,0

a,00055906,0,0

a,00056002,0.375,0

a,00056660,0,0.375

a,00056849,0,0.5

a,00056943,0,0.25

a,00057149,0,0

a,00057390,0,0.125

a,00057490,0,0

a,00057566,0,0

a,00057737,0,0

a,00057881,0,0.25

a,00057992,0,0

a,00058280,0,0

a,00058379,0,0

a,00058554,0,0.125

a,00058696,0,0.125

a,00058822,0,0.125

a,00058929,0.125,0

a,00059028,0,0.125

a,00059131,0,0.125

a,00059201,0,0

a,00059326,0,0

a,00059491,0,0.25

a,00059669,0,0.125

a,00059782,0,0.375

a,00059965,0,0.125

a,00060053,0,0.125

a,00060151,0,0.125

a,00060294,0,0.125

a,00060397,0.25,0.625

a,00060605,0.125,0.25

a,00060875,0.375,0.375

a,00060969,0,0

a,00061088,0,0

a,00061262,0.25,0

a,00061664,0.625,0

a,00061885,0.625,0

a,00062152,0,0

a,00062367,0.25,0.25

a,00062626,0.25,0

a,00062740,0,0

a,00063087,0.5,0

a,00063277,0.25,0.375

a,00063563,0.125,0.75

a,00063953,0.5,0.125

a,00064176,0.125,0.375

a,00064365,0,0.25

a,00064479,0.625,0

a,00064787,0.625,0

a,00065064,0.75,0

a,00065184,0.125,0.25

a,00065488,0.75,0.25

a,00065667,0,0.875

a,00065791,0.625,0.25

a,00066146,0.375,0.125

a,00066565,0.25,0.25

a,00066703,0.375,0.25

a,00066800,0.25,0.375

a,00066933,0,0

a,00067038,0.625,0

a,00067379,0.75,0

a,00067638,0.625,0

a,00067767,0.125,0.625

a,00067966,0.5,0

a,00068180,0,0

a,00068278,0,0.125

a,00068566,0,0

a,00068738,0,0

a,00068883,0,0

a,00069060,0,0.375

a,00069217,0.5,0

a,00069427,0,0.25

a,00069531,0.625,0

a,00069948,0.625,0

a,00070111,0,0

a,00070288,0.25,0

a,00070427,0.375,0.125

a,00070583,0.5,0.5

a,00070839,0.125,0.5

a,00070939,0.375,0

a,00071142,0.5,0.5

a,00071242,0,0.375

a,00071427,0.125,0

a,00071559,0,0.625

a,00071739,0.125,0.5

a,00071897,0,0.5

a,00071992,0.125,0.125

a,00072281,0,0.625

a,00072436,0.125,0

a,00072673,0,0.625

a,00072790,0.25,0.625

a,00073048,0,0

a,00073358,0,0

a,00073465,0,0.25

a,00073761,0.125,0.625

a,00073935,0,0.25

a,00074094,0,0.375

a,00074216,0.25,0.125

a,00074346,0.75,0.125

a,00074594,0.25,0

a,00074741,0,0.375

a,00074867,0.125,0.125

a,00075019,0,0

a,00075135,0.5,0

a,00075389,0.25,0

a,00075515,0,0.75

a,00075737,0,0.625

a,00075952,0.375,0.25

a,00076127,0.375,0.125

a,00076341,0.125,0.5

a,00076580,0.125,0.875

a,00076739,0,0

a,00076921,0,0

a,00077059,0,0

a,00077196,0,0

a,00077354,0,0

a,00077449,0,0

a,00077645,0,0.5

a,00078329,0,0.75

a,00078463,0,0.125

a,00078576,0.25,0

a,00078705,0,0.75

a,00078851,0,0.625

a,00078942,0,0.875

a,00079069,0.125,0.625

a,00079262,0.125,0.25

a,00079356,0,0.75

a,00079485,0.125,0.375

a,00079629,0,0.125

a,00079786,0,0.25

a,00079896,0.625,0.125

a,00080098,0,0.75

a,00080213,0,0.75

a,00080357,0,0

a,00080698,0,0.75

a,00080861,0,0.375

a,00080981,0,0.5

a,00081087,0,0.625

a,00081234,0,0.625

a,00081417,0.125,0

a,00081513,0,0.75

a,00081671,0.25,0.125

a,00081930,0,0.625

a,00082034,0.25,0.375

a,00082160,0.625,0.25

a,00082241,0.5,0

a,00082766,0.5,0

a,00083003,0.5,0.125

a,00083296,0.125,0.125

a,00083478,0,0

a,00083749,0.25,0

a,00083876,0.125,0.25

a,00084022,0,0

a,00084353,0.25,0

a,00084661,0.375,0.125

a,00084795,0.25,0.5

a,00084956,0,0.625

a,00085139,0.125,0.375

a,00085264,0,0.5

a,00085630,0.25,0.5

a,00085870,0,0.125

a,00086005,0,0.5

a,00086210,0.375,0.375

a,00086341,0.25,0.5

a,00086606,0.125,0.625

a,00086801,0,0.5

a,00087022,0,0

a,00087152,0.125,0.625

a,00087354,0,0.125

a,00087597,0,0

a,00087837,0.25,0

a,00088055,0,0

a,00088157,0,0

a,00088328,0.25,0.25

a,00088545,0,0

a,00088658,0,0.75

a,00088792,0,0.25

a,00088899,0.5,0.25

a,00089051,0.5,0

a,00089355,0.125,0.875

a,00089550,0,0.5

a,00090219,0.333,0.667

a,00090408,0,0.625

a,00090628,0,0.625

a,00090718,0,0

a,00090917,0,0

a,00091121,0,0

a,00091311,0.5,0

a,00091764,0.375,0

a,00092136,0.125,0.625

a,00092275,0.5,0

a,00092391,0.125,0.375

a,00092551,0.25,0.5

a,00092691,0,0

a,00092848,0,0

a,00092933,0,0

a,00093108,0,0

a,00093275,0,0

a,00093433,0,0

a,00093556,0.125,0

a,00093810,0.125,0.375

a,00094069,0.125,0.625

a,00094239,0.5,0

a,00094324,0.125,0.5

a,00094448,0.125,0

a,00094799,0.375,0.125

a,00094941,0.5,0

a,00095094,0,0

a,00095280,0,0.75

a,00095873,0,0.5

a,00096072,0,0

a,00096239,0,0.5

a,00096414,0,0

a,00096595,0,0.75

a,00096815,0,0.375

a,00096913,0,0

a,00097022,0,0.375

a,00097147,0,0

a,00097305,0,0.375

a,00097452,0,0

a,00097577,0,0.25

a,00097674,0.125,0

a,00097768,0,0.5

a,00097906,0,0

a,00098043,0,0.625

a,00098147,0,0

a,00098307,0.25,0.5

a,00098450,0,0.375

a,00098529,0,0

a,00098736,0.25,0

a,00098933,0,0

a,00099097,0,0.125

a,00099290,0.5,0

a,00099590,0,0

a,00099704,0,0.125

a,00099874,0,0.625

a,00100213,0,0.125

a,00100373,0,0.75

a,00100506,0,0

a,00100634,0,0

a,00100881,0,0

a,00100989,0,0

a,00101152,0,0.125

a,00101331,0,0

a,00101452,0.25,0

a,00101609,0.875,0

a,00101800,0.375,0

a,00102079,0.5,0

a,00102201,0.125,0

a,00102578,0.5,0

a,00102786,0,0

a,00102930,0.25,0.125

a,00103196,0.375,0.375

a,00103302,0.375,0

a,00103447,0,0

a,00103567,0.375,0.375

a,00103696,0.375,0

a,00103953,0.125,0

a,00104051,0.5,0.125

a,00104318,0.625,0

a,00104533,0.5,0

a,00104699,0.375,0

a,00104825,0.25,0

a,00104942,0.375,0.25

a,00105023,0.5,0

a,00105197,0.25,0.5

a,00105388,0,0.25

a,00105566,0,0

a,00105746,0,0

a,00106020,0,0

a,00106182,0.25,0

a,00106277,0,0

a,00106456,0,0.625

a,00106821,0,0.5

a,00107017,0.125,0.625

a,00107128,0,0.5

a,00107250,0,0.375

a,00107384,0,0

a,00107648,0.5,0

a,00107868,0,0

a,00107984,0,0.75

a,00108145,0,0

a,00108263,0,0

a,00108434,0,0

a,00108595,0,0.25

a,00108698,0,0

a,00109016,0,0

a,00109133,0,0

a,00109261,0,0

a,00109382,0,0

a,00109504,0,0

a,00109633,0,0

a,00109782,0,0

a,00109966,0,0

a,00110252,0,0

a,00110497,0,0

a,00110701,0,0

a,00110853,0.125,0

a,00111129,0,0

a,00111415,0.125,0

a,00111604,0,0

a,00111856,0,0

a,00112018,0,0

a,00112231,0,0

a,00112628,0,0

a,00113015,0.125,0.125

a,00113245,0,0.25

a,00113476,0,0

a,00113663,0,0

a,00113818,0.375,0.375

a,00114266,0,0.5

a,00114454,0.25,0.25

a,00114797,0.125,0.5

a,00114921,0.125,0.625

a,00115094,0.125,0.125

a,00115193,0.125,0

a,00115494,0,0.75

a,00115777,0.125,0.5

a,00115906,0.125,0

a,00116058,0.5,0.25

a,00116245,0,0.25

a,00116463,0,0.125

a,00116529,0,0.875

a,00116744,0.5,0.25

a,00116940,0.375,0.25

a,00117106,0,0.5

a,00117235,0,0.75

a,00117385,0.25,0.5

a,00117654,0.125,0.25

a,00117754,0.125,0.5

a,00117961,0.25,0.5

a,00118066,0,0

a,00118238,0,0.75

a,00118451,0,0

a,00118567,0.375,0

a,00118844,0.375,0

a,00119006,0.375,0.25

a,00119279,0.5,0.125

a,00119409,0.375,0.5

a,00119533,0.25,0

a,00119750,0.25,0.5

a,00119875,0.5,0

a,00119993,0.875,0

a,00120132,0,0.625

a,00120252,0,0

a,00120411,0,0

a,00120574,0,0.5

a,00120784,0,0

a,00121034,0,0

a,00121183,0,0

a,00121376,0,0

a,00121552,0,0

a,00121649,0,0.125

a,00121865,0,0

a,00122128,0,0

a,00122245,0.375,0.125

a,00122386,0,0.375

a,00122626,0,0

a,00122844,0,0

a,00123485,0,0

a,00123653,0,0

a,00123804,0,0

a,00123961,0,0.125

a,00124077,0,0

a,00124353,0,0

a,00124493,0,0

a,00124685,0,0

a,00124918,0,0

a,00125068,0,0

a,00125170,0,0

a,00125319,0,0

a,00125553,0,0

a,00125711,0,0.125

a,00125993,0,0.125

a,00126116,0,0.125

a,00126235,0,0

a,00126339,0,0

a,00126497,0,0

a,00126702,0,0

a,00126830,0,0

a,00127137,0,0

a,00127296,0,0

a,00127543,0,0.375

a,00127661,0,0

a,00127815,0,0

a,00127948,0,0

a,00128137,0,0

a,00128262,0,0

a,00128467,0.375,0

a,00128572,0,0

a,00128733,0,0.625

a,00128882,0,0

a,00129029,0,0.125

a,00129103,0,0.125

a,00129276,0,0

a,00129467,0,0.125

a,00129612,0,0

a,00129729,0,0

a,00129878,0,0

a,00130017,0,0

a,00130151,0,0.125

a,00130281,0,0.125

a,00130412,0,0

a,00130518,0,0

a,00130596,0,0

a,00130701,0,0

a,00130778,0,0

a,00131018,0,0

a,00131176,0,0

a,00131297,0,0

a,00131426,0,0

a,00131692,0,0

a,00131863,0,0

a,00132040,0,0

a,00132127,0,0

a,00132385,0,0

a,00132754,0,0

a,00132849,0.5,0

a,00133065,0,0.5

a,00133259,0,0

a,00133335,0,0.625

a,00133417,0.5,0.25

a,00133669,0.625,0.25

a,00133851,0,0.75

a,00134060,0,0

a,00134251,0.125,0.125

a,00134401,0,0.375

a,00134562,0.125,0.625

a,00134701,0,0

a,00135092,0,0

a,00135193,0,0

a,00135342,0.5,0

a,00135455,0,0

a,00135718,0.125,0.75

a,00136081,0,0.625

a,00136185,0,0.875

a,00136354,0,0

a,00136589,0,0

a,00136727,0,0

a,00136884,0.125,0.125

a,00137120,0,0.25

a,00137277,0,0

a,00137373,0,0

a,00137501,0,0

a,00137641,0.125,0.25

a,00137725,0.75,0

a,00137943,0,0.625

a,00138169,0.5,0.125

a,00138314,0.375,0.25

a,00138622,0.25,0.75

a,00138782,0.125,0.875

a,00138912,0.25,0

a,00139126,0.125,0

a,00139344,0,0.5

a,00139492,0.375,0

a,00139702,0.375,0

a,00139870,0,0

a,00139990,0,0

a,00140075,0,0

a,00140233,0,0

a,00140437,0,0.625

a,00140542,0.125,0

a,00140880,0,0

a,00140989,0.375,0.25

a,00141111,0,0

a,00141316,0.125,0

a,00141429,0.125,0

a,00141522,0,0.5

a,00141647,0,0.25

a,00141746,0.125,0.25

a,00141818,0,0

a,00141947,0,0.625

a,00142040,0,0.125

a,00142270,0,0.125

a,00142407,0.25,0.125

a,00142622,0,0

a,00142704,0,0

a,00142825,0,0

a,00142917,0,0.5

a,00143201,0.125,0

a,00143294,0.125,0

a,00143376,0,0.125

a,00143516,0,0

a,00143589,0,0.125

a,00143854,0,0.375

a,00144020,0,0.5

a,00144102,0.375,0.25

a,00144244,0,0

a,00144408,0,0

a,00144510,0,0.125

a,00144598,0,0

a,00144728,0,0

a,00144877,0,0.125

a,00145083,0,0.375

a,00145628,0.25,0.25

a,00145706,0,0.125

a,00145805,0.25,0.25

a,00145883,0,0.25

a,00145995,0,0.625

a,00146128,0.125,0.375

a,00146210,0,0

a,00146430,0,0.125

a,00146501,0,0

a,00146609,0,0

a,00146693,0,0

a,00146786,0,0

a,00146883,0,0.125

a,00147052,0,0.125

a,00147160,0,0

a,00147397,0,0

a,00147528,0,0.125

a,00147659,0,0.625

a,00147734,0.625,0

a,00148078,0.625,0.125

a,00148642,0.625,0

a,00148852,0.125,0

a,00149120,0.625,0

a,00149262,0.625,0

a,00149461,0.25,0

a,00149686,0.125,0.25

a,00149861,0.25,0.625

a,00150055,0.25,0.375

a,00150202,0.125,0.5

a,00150505,0.375,0.125

a,00150835,0.5,0

a,00150936,0,0

a,00151105,0,0.625

a,00151530,0,0.75

a,00151661,0,0.75

a,00151855,0,0

a,00152004,0,0

a,00152104,0.125,0.5

a,00152285,0.25,0.5

a,00152629,0,0.625

a,00152784,0,0.5

a,00152896,0.5,0

a,00153083,0,0.25

a,00153239,0,0.5

a,00153410,0,0.625

a,00153545,0,0

a,00153652,0,0.625

a,00153789,0,0.5

a,00153898,0,0.75

a,00154163,0,0.5

a,00154270,0,0.5

a,00154583,0.5,0.25

a,00154837,0.5,0.25

a,00154965,0.25,0.25

a,00155144,0.75,0.125

a,00155720,0.125,0.625

a,00155886,0,0.375

a,00156101,0.625,0.25

a,00156440,0.5,0.25

a,00156575,0.25,0

a,00156839,0.625,0

a,00157080,0.25,0.375

a,00157268,0.125,0.25

a,00157389,0,0.625

a,00157659,0.625,0

a,00157849,0,0.125

a,00157925,0.125,0.125

a,00158110,0.25,0

a,00158238,0,0

a,00158332,0,0

a,00158407,0,0.75

a,00158546,0,0.625

a,00158701,0.125,0

a,00158864,0,0

a,00158961,0,0

a,00159106,0,0

a,00159267,0,0

a,00159381,0,0.25

a,00159498,0,0.125

a,00159735,0,0.125

a,00159975,0,0.625

a,00160144,0,0

a,00160288,0,0.125

a,00160425,0,0

a,00160573,0,0

a,00160768,0,0.5

a,00160957,0,0

a,00161065,0,0

a,00161170,0,0

a,00161276,0.5,0.25

a,00161431,0.5,0

a,00161684,0.5,0

a,00161878,0.125,0

a,00161993,0,0

a,00162083,0.25,0

a,00162248,0.625,0

a,00162386,0.625,0

a,00162661,0.375,0

a,00162863,0.375,0.125

a,00162990,0.125,0.625

a,00163315,0.5,0.125

a,00163480,0,0.25

a,00163592,0.25,0

a,00163948,0.25,0.125

a,00164308,0.5,0

a,00164462,0.5,0

a,00164598,0.125,0.625

a,00164681,0.375,0.125

a,00164863,0.25,0.375

a,00165171,0.375,0.125

a,00165458,0,0.25

a,00165585,0.25,0.25

a,00165766,0.25,0.375

a,00165943,0.375,0

a,00166146,0.875,0

a,00166753,0.5,0

a,00167077,0.5,0

a,00167278,0.5,0

a,00167520,0.5,0

a,00167671,0.875,0

a,00167829,0.625,0

a,00168039,0,0.375

a,00168188,0.375,0

a,00168551,0.625,0.125

a,00168694,0.625,0

a,00168820,0.5,0

a,00168910,0.5,0

a,00169056,0.625,0

a,00169164,0.5,0.25

a,00169432,0.375,0.25

a,00169692,0.125,0.25

a,00169826,0,0.125

a,00169955,0,0

a,00170156,0.5,0

a,00170358,0.25,0

a,00170717,0.25,0

a,00170847,0.375,0

a,00171044,0.125,0.625

a,00171292,0.25,0.5

a,00171447,0.375,0

a,00171590,0.625,0

a,00171872,0,0.25

a,00172172,0,0

a,00172308,0,0

a,00172452,0.125,0.25

a,00172562,0,0

a,00172774,0,0

a,00172993,0,0

a,00173220,0,0

a,00173391,0,0

a,00173694,0,0.125

a,00173764,0.375,0

a,00174056,0,0

a,00174150,0,0

a,00174243,0,0

a,00174379,0.125,0.5

a,00174719,0.125,0

a,00174879,0.375,0

a,00174983,0,0

a,00175123,0,0.625

a,00175300,0.375,0

a,00175435,0.25,0

a,00175528,0,0

a,00175719,0,0

a,00175887,0,0

a,00176150,0.625,0

a,00176387,0,0.375

a,00176676,0.75,0

a,00176838,0.111,0.889

a,00176991,0.125,0.5

a,00177186,0.5,0

a,00177547,0.75,0

a,00177834,0.375,0

a,00177963,0,0.625

a,00178126,0.25,0.75

a,00178464,0.125,0.875

a,00178575,0,0.375

a,00178811,0,0

a,00179035,0,0

a,00179190,0.125,0.125

a,00179315,0,0

a,00179486,0,0.875

a,00179676,0,0

a,00179815,0,0.25

a,00179925,0,0

a,00180211,0,0.75

a,00180359,0,0

a,00180496,0,0

a,00180655,0,0

a,00180835,0,0

a,00181030,0,0

a,00181162,0,0

a,00181264,0,0.625

a,00181373,0,0

a,00181476,0,0

a,00181904,0.375,0

a,00182086,0,0

a,00182225,0,0

a,00182418,0,0

a,00182510,0,0

a,00182639,0,0

a,00182718,0.5,0

a,00182843,0.125,0.375

a,00182961,0,0

a,00183053,0.375,0

a,00183675,0.125,0

a,00183832,0.625,0

a,00183932,0.625,0

a,00184075,0.125,0

a,00184229,0.125,0

a,00184363,0.625,0

a,00184543,0,0

a,00184676,0.25,0

a,00184792,0.375,0

a,00185020,0.375,0

a,00185160,0,0

a,00185363,0,0

a,00185509,0,0.5

a,00185607,0,0

a,00185759,0,0

a,00185921,0.375,0.5

a,00186193,0,0.625

a,00186490,0,0.625

a,00186616,0.125,0.5

a,00186925,0,0

a,00187049,0,0

a,00187176,0,0.625

a,00187443,0.125,0.375

a,00187590,0.25,0.25

a,00187736,0,0

a,00188058,0,0

a,00188155,0,0

a,00188436,0,0

a,00188738,0,0.125

a,00188917,0,0

a,00189017,0,0

a,00189253,0.5,0.125

a,00189511,0,0.25

a,00189580,0.125,0.25

a,00189833,0.125,0.375

a,00190023,0,0.375

a,00190115,0.5,0

a,00190653,0.625,0

a,00190960,0.625,0

a,00191265,0.625,0

a,00191603,0,0.25

a,00192026,0.125,0.25

a,00192332,0,0.75

a,00192523,0,0.625

a,00192756,0.375,0

a,00192880,0,0.625

a,00193015,0,0.5

a,00193367,0,0.5

a,00193480,0,0.625

a,00193799,0,0.625

a,00194357,0,0.75

a,00194817,0.25,0.625

a,00194924,0,0.75

a,00195191,0,0.5

a,00195383,0.625,0

a,00195684,0.25,0.625

a,00196122,0,0.25

a,00196233,0,0.25

a,00196312,0.25,0.125

a,00196449,0,0.625

a,00196560,0.25,0.25

a,00196664,0,0

a,00196799,0,0

a,00196934,0.5,0

a,00197151,0.375,0.125

a,00197247,0.5,0

a,00197319,0.5,0.5

a,00197447,0.25,0.5

a,00197576,0,0

a,00197773,0,0

a,00197891,0,0

a,00198147,0,0

a,00198383,0,0

a,00198610,0,0

a,00198757,0,0

a,00198904,0.375,0

a,00199114,0,0

a,00199463,0,0

a,00199569,0,0

a,00199811,0,0

a,00200026,0,0

a,00200258,0,0.125

a,00200431,0.125,0

a,00200529,0,0.125

a,00200603,0,0

a,00200760,0,0.125

a,00200854,0,0

a,00200979,0,0

a,00201130,0,0.25

a,00201259,0,0

a,00201354,0,0

a,00201722,0,0

a,00201802,0,0

a,00201961,0,0

a,00202095,0.125,0

a,00202250,0,0

a,00202411,0,0

a,00202508,0,0

a,00202677,0,0

a,00202772,0,0

a,00202875,0,0.5

a,00203030,0,0

a,00203123,0.375,0.375

a,00203237,0,0

a,00203495,0,0

a,00203614,0.125,0

a,00203774,0,0

